"Impl","Connections","MessageSize","Streams","Drop","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"tcp","1","256","1","0.004","39.463","0.010","25.336","25.355","25.641","25.725"
"managed","1","256","1","0.004","39.388","0.010","25.420","25.427","25.749","25.825"
"msquic","1","256","1","0.004","39.586","0.010","25.251","25.265","25.579","25.709"
"tcp","1","1024","1","0.004","39.393","0.038","25.389","25.413","25.681","25.784"
"managed","1","1024","1","0.004","39.266","0.038","25.475","25.488","25.785","25.887"
"msquic","1","1024","1","0.004","39.527","0.039","25.287","25.304","25.589","25.739"
"tcp","1","4096","1","0.004","39.937","0.156","25.032","25.027","25.309","25.425"
"managed","1","4096","1","0.004","31.264","0.122","32.015","32.248","32.869","33.188"
"msquic","1","4096","1","0.004","39.384","0.154","25.348","25.372","25.662","25.780"
"tcp","1","256","1","0.1","38.925","0.010","25.680","25.322","25.625","25.729"
"managed","1","256","1","0.1","38.932","0.010","25.709","25.448","25.740","25.831"
"msquic","1","256","1","0.1","39.520","0.010","25.265","25.286","25.595","25.743"
"tcp","1","1024","1","0.1","39.395","0.038","25.339","25.363","25.683","25.728"
"managed","1","1024","1","0.1","39.256","0.038","25.467","25.487","25.788","25.892"
"msquic","1","1024","1","0.1","38.200","0.037","26.137","25.266","25.612","25.735"
"tcp","1","4096","1","0.1","38.262","0.149","26.115","25.080","25.326","25.430"
"managed","1","4096","1","0.1","31.268","0.122","31.991","32.271","32.744","34.888"
"msquic","1","4096","1","0.1","39.124","0.153","25.542","25.382","25.660","25.784"
