"Impl","Connections","MessageSize","Streams","Lag","Drop","Average RPS","Throughput (MiB/s)"
"tcp","1","256","1","25","0.1","19195.889","4.686"
"managed","1","256","1","25","0.1","7298.842","1.782"
"msquic","1","256","1","25","0.1","6503.633","1.588"
"tcp","1","1024","1","25","0.1","4538.259","4.455"
"managed","1","1024","1","25","0.1","1777.996","1.736"
"msquic","1","1024","1","25","0.1","1533.561","1.498"
"tcp","1","4096","1","25","0.1","1117.928","4.367"
"managed","1","4096","1","25","0.1","470.282","1.837"
"msquic","1","4096","1","25","0.1","481.172","1.880"
"tcp","1","256","1","25","0.004","116778.074","28.510"
"managed","1","256","1","25","0.004","16730.938","4.085"
"msquic","1","256","1","25","0.004","18182.037","4.439"
"tcp","1","1024","1","25","0.004","66843.210","65.277"
"managed","1","1024","1","25","0.004","4161.243","4.064"
"msquic","1","1024","1","25","0.004","5111.987","4.992"
"tcp","1","4096","1","25","0.004","19095.844","74.593"
"managed","1","4096","1","25","0.004","1008.330","3.939"
"msquic","1","4096","1","25","0.004","812.302","3.173"
"tcp","1","256","1","50","0.004","146471.219","35.760"
"managed","1","256","1","50","0.004","8126.301","1.984"
"msquic","1","256","1","50","0.004","8845.102","2.159"
"tcp","1","1024","1","50","0.004","39964.921","39.028"
"managed","1","1024","1","50","0.004","2005.845","1.959"
"msquic","1","1024","1","50","0.004","3264.820","3.188"
"tcp","1","4096","1","50","0.004","11102.312","43.368"
"managed","1","4096","1","50","0.004","510.227","1.993"
"msquic","1","4096","1","50","0.004","655.301","2.560"
"tcp","1","256","1","100","0.004","64967.987","15.861"
"managed","1","256","1","100","0.004","3731.185","0.911"
"msquic","1","256","1","100","0.004","5735.226","1.400"
"tcp","1","1024","1","100","0.004","18634.235","18.197"
"managed","1","1024","1","100","0.004","957.338","0.935"
"msquic","1","1024","1","100","0.004","1372.299","1.340"
"tcp","1","4096","1","100","0.004","5962.445","23.291"
"managed","1","4096","1","100","0.004","226.121","0.883"
"msquic","1","4096","1","100","0.004","519.493","2.029"
