"Impl","Connections","Streams","MessageSize","Lag","Drop","Average RPS","Throughput (MiB/s)"
"tcp","1","32","256","25","0.004","233388.724","56.980"
"managed","1","32","256","25","0.004","31651.546","7.727"
"msquic","1","32","256","25","0.004","17095.274","4.174"
"tcp","1","32","1024","25","0.004","66843.210","65.277"
"managed","1","32","1024","25","0.004","6881.787","6.720"
"msquic","1","32","1024","25","0.004","5449.736","5.322"
"tcp","1","32","4096","25","0.004","19095.844","74.593"
"managed","1","32","4096","25","0.004","2164.353","8.455"
"msquic","1","32","4096","25","0.004","1745.648","6.819"
"tcp","1","32","256","25","0.1","19195.889","4.686"
"managed","1","32","256","25","0.1","7095.317","1.732"
"msquic","1","32","256","25","0.1","7196.421","1.757"
"tcp","1","32","1024","25","0.1","4538.259","4.455"
"managed","1","32","1024","25","0.1","2326.248","2.272"
"msquic","1","32","1024","25","0.1","1641.981","1.603"
"tcp","1","32","4096","25","0.1","1117.928","4.367"
"managed","1","32","4096","25","0.1","537.846","2.101"
"msquic","1","32","4096","25","0.1","472.450","1.846"
"tcp","1","1","256","50","0.004","146471.219","35.760"
