"Impl","Connections","MessageSize","Streams","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"managed","1","256","1","5276.090","1.288","0.188","0.183","0.217","0.241"
"msquic","1","256","1","6338.532","1.547","0.153","0.150","0.192","0.211"
"managed","1","256","32","63583.382","15.523","0.501","0.430","0.807","1.824"
"msquic","1","256","32","64409.532","15.725","0.461","0.447","0.661","0.875"
"managed","4","256","1","24409.923","5.959","0.162","0.147","0.213","0.315"
"msquic","4","256","1","25194.620","6.151","0.150","0.143","0.197","0.239"
"managed","4","256","32","163618.169","39.946","0.785","0.481","2.413","3.767"
"msquic","4","256","32","131819.897","32.183","0.839","0.793","1.297","1.812"
"managed","16","256","1","89282.205","21.797","0.178","0.147","0.216","1.039"
"msquic","16","256","1","48751.314","11.902","0.299","0.284","0.442","0.579"
"managed","16","256","32","125503.603","30.641","4.096","1.762","10.670","45.272"
"msquic","16","256","32","128682.985","31.417","3.342","3.217","5.098","6.026"
"managed","64","256","1","145548.036","35.534","0.436","0.346","0.898","1.736"
"msquic","64","256","1","49029.309","11.970","1.139","1.063","1.837","2.166"
"managed","64","256","32","97576.833","23.822","21.079","8.712","106.603","175.309"
"msquic","64","256","32","110947.535","27.087","17.309","17.522","23.887","26.999"
"managed","256","256","1","127421.499","31.109","2.016","0.543","3.306","35.192"
"msquic","256","256","1","46643.786","11.388","4.564","4.201","7.457","8.391"
"managed","256","256","32","105175.494","25.678","78.815","42.706","259.481","435.162"
"msquic","256","256","32","107149.962","26.160","66.367","69.091","89.206","95.681"
"managed","1","4096","1","2995.077","11.700","0.332","0.297","0.496","0.549"
"msquic","1","4096","1","2448.254","9.563","0.402","0.392","0.605","0.652"
"managed","1","4096","32","22402.851","87.511","1.428","1.307","2.401","3.331"
"msquic","1","4096","32","21287.359","83.154","1.443","1.430","1.792","2.042"
"managed","4","4096","1","9924.012","38.766","0.401","0.376","0.574","0.972"
"msquic","4","4096","1","9352.491","36.533","0.412","0.406","0.562","0.628"
"managed","4","4096","32","25211.412","98.482","5.087","4.456","9.915","13.711"
"msquic","4","4096","32","25711.554","100.436","4.372","4.323","5.697","6.422"
"managed","16","4096","1","18251.370","71.294","0.877","0.527","1.304","2.861"
"msquic","16","4096","1","21906.935","85.574","0.676","0.638","0.946","1.233"
"managed","16","4096","32","18745.142","73.223","27.353","21.745","69.911","111.069"
"msquic","16","4096","32","25711.414","100.435","17.779","17.522","23.874","27.426"
"managed","64","4096","1","17693.810","69.116","3.446","0.857","8.780","56.728"
"msquic","64","4096","1","22870.955","89.340","2.533","2.344","3.834","4.860"
"managed","64","4096","32","15400.293","60.157","131.828","61.245","447.731","878.677"
"msquic","64","4096","32","24754.406","96.697","74.727","73.783","99.570","113.595"
"managed","256","4096","1","11967.363","46.748","21.329","8.900","90.605","171.140"
"msquic","256","4096","1","20463.854","79.937","11.057","10.147","18.747","21.832"
"managed","256","4096","32","12415.555","48.498","624.055","226.792","2179.469","6126.834"
"msquic","256","4096","32","24315.281","94.982","296.576","296.033","377.750","417.740"
