"Impl","Connections","MessageSize","Streams","Average RPS","Throughput (MiB/s)"
"managed","1","256","1","423002.223","103.272"
"msquic","1","256","1","106026.159","25.885"
"managed","1","256","32","364445.006","88.976"
"msquic","1","256","32","172313.300","42.069"
"managed","4","256","1","436679.648","106.611"
"msquic","4","256","1","130801.583","31.934"
"managed","4","256","32","393842.223","96.153"
"msquic","4","256","32","165873.937","40.497"
"managed","16","256","1","346857.116","84.682"
"msquic","16","256","1","134131.975","32.747"
"managed","16","256","32","320357.856","78.212"
"msquic","16","256","32","123536.079","30.160"
"managed","64","256","1","323788.565","79.050"
"msquic","64","256","1","109674.805","26.776"
"managed","64","256","32","231782.309","56.587"
"msquic","64","256","32","120211.510","29.349"
"managed","256","256","1","270585.017","66.061"
"msquic","256","256","1","76679.346","18.721"
"managed","256","256","32","161926.335","39.533"
"msquic","256","256","32","129326.227","31.574"
"managed","1","4096","1","26112.620","102.002"
"msquic","1","4096","1","23963.034","93.606"
"managed","1","4096","32","25134.751","98.183"
"msquic","1","4096","32","26899.661","105.077"
"managed","4","4096","1","27352.463","106.846"
"msquic","4","4096","1","24932.290","97.392"
"managed","4","4096","32","25685.756","100.335"
"msquic","4","4096","32","27221.051","106.332"
"managed","16","4096","1","22001.261","85.942"
"msquic","16","4096","1","24718.156","96.555"
"managed","16","4096","32","18060.054","70.547"
"msquic","16","4096","32","26832.391","104.814"
"managed","64","4096","1","19827.686","77.452"
"msquic","64","4096","1","25107.399","98.076"
"managed","64","4096","32","15877.849","62.023"
"msquic","64","4096","32","25800.621","100.784"
"managed","256","4096","1","16034.198","62.634"
"msquic","256","4096","1","22844.068","89.235"
"managed","256","4096","32","12569.695","49.100"
"msquic","256","4096","32","27967.580","109.248"
