"Impl","Connections","MessageSize","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"tcp","1","256","7847.521","1.916","0.119","0.124","0.148","0.170"
"managed","1","256","5270.467","1.287","0.188","0.183","0.217","0.241"
"msquic","1","256","6359.174","1.553","0.153","0.150","0.192","0.215"
"tcp","8","256","77962.066","19.034","0.095","0.091","0.126","0.162"
"managed","8","256","46696.247","11.400","0.169","0.147","0.196","0.679"
"msquic","8","256","42610.514","10.403","0.173","0.168","0.233","0.283"
"tcp","32","256","233723.179","57.061","0.129","0.134","0.154","0.207"
"managed","32","256","130015.672","31.742","0.245","0.199","0.409","1.213"
"msquic","32","256","49428.125","12.067","0.575","0.547","0.901","1.104"
"tcp","128","256","332235.887","81.112","0.385","0.346","0.622","1.226"
"managed","128","256","138535.753","33.822","0.922","0.483","2.015","4.093"
"msquic","128","256","50013.053","12.210","2.218","2.022","3.660","4.220"
"tcp","512","256","326857.157","79.799","1.587","1.546","2.268","3.561"
"managed","512","256","103352.602","25.233","4.972","0.675","35.329","82.575"
"msquic","512","256","30820.646","7.525","9.557","8.949","14.858","17.088"
"tcp","1","4096","3514.518","13.729","0.274","0.224","0.528","0.633"
"managed","1","4096","3041.039","11.879","0.327","0.294","0.488","0.540"
"msquic","1","4096","2580.616","10.081","0.381","0.252","0.607","0.633"
"tcp","8","4096","19547.163","76.356","0.399","0.401","0.527","0.587"
"managed","8","4096","15524.984","60.644","0.453","0.412","0.669","1.309"
"msquic","8","4096","16624.911","64.941","0.457","0.445","0.621","0.724"
"tcp","32","4096","27740.670","108.362","1.145","1.083","1.803","1.946"
"managed","32","4096","18068.632","70.581","1.724","0.671","1.776","53.130"
"msquic","32","4096","22878.498","89.369","1.303","1.212","1.886","2.390"
"tcp","128","4096","27834.219","108.727","4.594","4.576","6.191","6.692"
"managed","128","4096","11548.633","45.112","10.978","4.614","53.440","104.827"
"msquic","128","4096","22129.721","86.444","5.132","4.786","7.934","9.515"
"tcp","512","4096","27732.748","108.331","18.477","18.603","22.903","23.905"
"managed","512","4096","11289.790","44.101","45.069","10.372","185.327","479.339"
"msquic","512","4096","18792.394","73.408","23.557","22.383","35.160","45.975"
