"Impl","Connections","MessageSize","Average RPS","Throughput (MiB/s)"
"tcp","1","256","304468.432","74.333"
"managed","1","256","420989.580","102.781"
"msquic","1","256","105675.135","25.800"
"tcp","8","256","415464.585","101.432"
"managed","8","256","384781.853","93.941"
"msquic","8","256","117615.537","28.715"
"tcp","32","256","414947.599","101.306"
"managed","32","256","346247.567","84.533"
"msquic","32","256","133536.059","32.602"
"tcp","128","256","411046.494","100.353"
"managed","128","256","301403.832","73.585"
"msquic","128","256","88596.147","21.630"
"tcp","512","256","410587.522","100.241"
"managed","512","256","207284.570","50.607"
"msquic","512","256","53069.354","12.956"
"tcp","1","4096","28378.339","110.853"
"managed","1","4096","26001.248","101.567"
"msquic","1","4096","23394.556","91.385"
"tcp","8","4096","28174.066","110.055"
"managed","8","4096","23307.667","91.046"
"msquic","8","4096","25114.004","98.102"
"tcp","32","4096","27921.780","109.069"
"managed","32","4096","21536.069","84.125"
"msquic","32","4096","25529.643","99.725"
"tcp","128","4096","27832.582","108.721"
"managed","128","4096","18748.801","73.238"
"msquic","128","4096","23541.517","91.959"
"tcp","512","4096","27817.209","108.661"
"managed","512","4096","12487.917","48.781"
"msquic","512","4096","20543.956","80.250"
