"Impl","Connections","MessageSize","Drop","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"tcp","1","256","0.004","17.320","0.004","57.827","55.899","81.330","82.072"
"tcp","1","1024","0.004","15.998","0.016","62.646","65.673","81.328","81.738"
"tcp","1","4096","0.004","16.986","0.066","58.942","59.017","81.214","81.785"
"managed","1","256","0.004","16.655","0.004","60.116","61.596","81.436","81.863"
"managed","1","1024","0.004","16.981","0.017","59.050","58.426","81.291","81.775"
"managed","1","4096","0.004","12.731","0.050","78.661","80.493","88.824","94.856"
"msquic","1","256","0.004","31.044","0.008","32.243","31.178","40.924","61.822"
"msquic","1","1024","0.004","30.187","0.029","33.089","31.212","46.323","72.217"
"msquic","1","4096","0.004","21.727","0.085","46.051","40.708","80.521","81.763"
"tcp","1","256","0.1","15.855","0.004","63.055","67.622","81.289","81.758"
"tcp","1","1024","0.1","15.994","0.016","62.437","67.882","81.387","81.737"
"tcp","1","4096","0.1","15.978","0.062","62.455","61.968","81.415","121.417"
"managed","1","256","0.1","17.063","0.004","58.713","58.939","81.190","81.772"
"managed","1","1024","0.1","17.054","0.017","58.585","55.098","81.186","81.790"
"managed","1","4096","0.1","12.197","0.048","81.831","80.480","97.003","121.245"
"msquic","1","256","0.1","31.062","0.008","32.139","31.244","40.827","62.272"
"msquic","1","1024","0.1","30.125","0.029","33.139","31.221","60.903","66.566"
"msquic","1","4096","0.1","20.331","0.079","49.174","41.209","80.653","81.367"
