"Impl","Connections","MessageSize","Drop","Average RPS","Throughput (MiB/s)"
"tcp","1","256","0.004","218793.803","53.416"
"managed","1","256","0.004","10680.182","2.607"
"msquic","1","256","0.004","2388.370","0.583"
"tcp","1","1024","0.004","107422.132","104.904"
"managed","1","1024","0.004","2521.891","2.463"
"msquic","1","1024","0.004","585.334","0.572"
"tcp","1","4096","0.004","43030.935","168.090"
"managed","1","4096","0.004","867.496","3.389"
"msquic","1","4096","0.004","369.896","1.445"
"tcp","1","256","0.1","145742.029","35.582"
"managed","1","256","0.1","7873.569","1.922"
"msquic","1","256","0.1","2458.045","0.600"
"tcp","1","1024","0.1","61012.039","59.582"
"managed","1","1024","0.1","1730.607","1.690"
"msquic","1","1024","0.1","600.413","0.586"
"tcp","1","4096","0.1","20357.326","79.521"
"managed","1","4096","0.1","512.926","2.004"
"msquic","1","4096","0.1","150.304","0.587"
