"Impl","Connections","MessageSize","Streams","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"managed","1","256","1","14161.023","3.457","0.069","0.068","0.079","0.095"
"msquic","1","256","1","15081.221","3.682","0.058","0.054","0.073","0.116"
"managed","4","256","1","36052.468","8.802","0.110","0.106","0.129","0.153"
"msquic","4","256","1","36956.487","9.023","0.097","0.093","0.141","0.182"
"managed","16","256","1","35507.102","8.669","0.407","0.382","0.444","1.155"
"msquic","16","256","1","41015.492","10.014","0.378","0.372","0.558","0.774"
"managed","64","256","1","34484.000","8.419","1.863","1.736","3.100","3.309"
"msquic","64","256","1","36875.498","9.003","1.706","1.841","2.537","3.295"
"managed","256","256","1","29544.635","7.213","8.705","7.231","12.319","13.988"
"msquic","256","256","1","33241.276","8.116","7.654","8.568","11.261","16.277"
"managed","1","4096","32","17215.674","67.249","1.861","1.760","2.906","3.648"
"msquic","1","4096","32","30358.980","118.590","0.972","0.936","1.296","1.602"
"managed","4","4096","32","35962.500","140.479","3.577","3.373","5.910","7.279"
"msquic","4","4096","32","25610.440","100.041","4.962","4.843","6.170","7.812"
"managed","16","4096","32","19940.612","77.893","25.778","19.580","68.439","116.535"
"msquic","16","4096","32","21241.543","82.975","23.362","22.986","28.955","32.329"
"managed","64","4096","32","9284.880","36.269","215.271","172.654","513.583","664.895"
"msquic","64","4096","32","21458.160","83.821","94.194","93.041","114.819","130.145"
"managed","256","4096","32","8843.552","34.545","256.061","200.132","643.738","884.016"
"msquic","256","4096","32","19990.144","78.086","405.693","402.895","456.744","548.073"
