"Impl","Connections","MessageSize","Streams","Average RPS","Throughput (MiB/s)"
"managed","1","256","1","316092.091","77.171"
"managed","1","256","32","312185.495","76.217"
"msquic","1","256","1","57877.618","14.130"
"msquic","1","256","32","115095.322","28.099"
"managed","1","4096","1","20811.685","81.296"
"managed","1","4096","32","19362.023","75.633"
"msquic","1","4096","1","11729.399","45.818"
"msquic","1","4096","32","15501.079","60.551"
"managed","4","256","1","719122.942","175.567"
"managed","4","256","32","588021.599","143.560"
"msquic","4","256","1","46490.263","11.350"
"msquic","4","256","32","149472.541","36.492"
"managed","4","4096","1","41884.349","163.611"
"managed","4","4096","32","38623.755","150.874"
"msquic","4","4096","1","14178.157","55.383"
"msquic","4","4096","32","19667.972","76.828"
"managed","16","256","1","550642.324","134.434"
"managed","16","256","32","383070.764","93.523"
"msquic","16","256","1","47475.523","11.591"
"msquic","16","256","32","122285.925","29.855"
"managed","16","4096","1","34610.672","135.198"
"managed","16","4096","32","30074.578","117.479"
"msquic","16","4096","1","17152.542","67.002"
"msquic","16","4096","32","16079.885","62.812"
"managed","64","256","1","385220.631","94.048"
"managed","64","256","32","182987.671","44.675"
"msquic","64","256","1","47168.457","11.516"
"msquic","64","256","32","107590.833","26.267"
"managed","64","4096","1","24911.891","97.312"
"managed","64","4096","32","17249.148","67.379"
"msquic","64","4096","1","14032.817","54.816"
"msquic","64","4096","32","18259.341","71.326"
"managed","256","256","1","344699.547","84.155"
"managed","256","256","32","166817.124","40.727"
"msquic","256","256","1","42113.531","10.282"
"msquic","256","256","32","150373.243","36.712"
"managed","256","4096","1","21457.645","83.819"
"managed","256","4096","32","13991.358","54.654"
"msquic","256","4096","1","17325.939","67.679"
"msquic","256","4096","32","17888.855","69.878"
