"Impl","Connections","MessageSize","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"tcp","1","256","35347.427","8.630","0.017","0.016","0.018","0.061"
"managed","1","256","13976.919","3.412","0.070","0.069","0.081","0.096"
"msquic","1","256","15204.821","3.712","0.058","0.056","0.074","0.109"
"tcp","8","256","161420.733","39.409","0.041","0.040","0.058","0.071"
"managed","8","256","35484.226","8.663","0.225","0.217","0.251","0.329"
"msquic","8","256","40059.096","9.780","0.188","0.179","0.290","0.372"
"tcp","32","256","218439.958","53.330","0.146","0.144","0.206","0.243"
"managed","32","256","34681.879","8.467","0.914","0.867","1.031","1.895"
"msquic","32","256","37147.976","9.069","0.838","0.875","1.270","1.601"
"tcp","128","256","227427.902","55.524","0.571","0.561","0.717","0.923"
"managed","128","256","32837.577","8.017","3.915","3.511","6.018","6.366"
"msquic","128","256","36478.292","8.906","3.476","3.888","5.071","6.599"
"tcp","512","256","169496.208","41.381","3.087","3.008","3.523","5.233"
"managed","512","256","24892.653","6.077","20.621","22.266","27.541","37.253"
"msquic","512","256","29957.581","7.314","16.976","16.597","23.657","31.229"
"tcp","1","4096","26312.052","102.781","0.023","0.020","0.034","0.067"
"managed","1","4096","7118.873","27.808","0.138","0.135","0.162","0.213"
"msquic","1","4096","9145.093","35.723","0.101","0.096","0.124","0.179"
"tcp","8","4096","128674.802","502.636","0.050","0.051","0.071","0.085"
"managed","8","4096","25080.410","97.970","0.251","0.231","0.352","0.877"
"msquic","8","4096","17217.576","67.256","0.450","0.462","0.678","0.893"
"tcp","32","4096","162494.411","634.744","0.191","0.191","0.304","0.345"
"managed","32","4096","24663.770","96.343","1.299","1.259","2.137","2.692"
"msquic","32","4096","16873.900","65.914","1.872","1.827","2.752","3.381"
"tcp","128","4096","152928.138","597.376","0.854","0.842","0.990","1.262"
"managed","128","4096","13988.730","54.643","9.047","1.118","67.574","151.561"
"msquic","128","4096","15293.142","59.739","8.334","9.704","11.864","13.198"
"tcp","512","4096","118982.635","464.776","4.365","4.300","5.071","6.769"
"managed","512","4096","9511.858","37.156","53.891","40.659","157.398","299.360"
"msquic","512","4096","12943.765","50.562","39.540","48.088","54.873","56.541"
