"Impl","Connections","MessageSize","Average RPS","Throughput (MiB/s)"
"tcp","1","256","77609.443","18.948"
"managed","1","256","316595.731","77.294"
"msquic","1","256","72732.531","17.757"
"tcp","1","1024","72933.618","71.224"
"managed","1","1024","82584.634","80.649"
"msquic","1","1024","54982.342","53.694"
"tcp","1","4096","51265.620","200.256"
"managed","1","4096","20600.886","80.472"
"msquic","1","4096","24876.694","97.175"
"tcp","4","256","497321.796","121.416"
"managed","4","256","538230.605","131.404"
"msquic","4","256","63665.848","15.543"
"tcp","4","1024","412845.135","403.169"
"managed","4","1024","122930.311","120.049"
"msquic","4","1024","50623.612","49.437"
"tcp","4","4096","175915.615","687.170"
"managed","4","4096","30918.050","120.774"
"msquic","4","4096","15298.066","59.758"
"tcp","16","256","562628.646","137.361"
"managed","16","256","305809.407","74.660"
"msquic","16","256","67709.838","16.531"
"tcp","16","1024","447690.487","437.198"
"managed","16","1024","75848.986","74.071"
"msquic","16","1024","56684.068","55.356"
"tcp","16","4096","229754.556","897.479"
"managed","16","4096","17508.222","68.391"
"msquic","16","4096","23560.122","92.032"
"tcp","64","256","552482.735","134.883"
"managed","64","256","211027.243","51.520"
"msquic","64","256","58100.001","14.185"
"tcp","64","1024","477211.540","466.027"
"managed","64","1024","51410.233","50.205"
"msquic","64","1024","54560.739","53.282"
"tcp","64","4096","190300.184","743.360"
"managed","64","4096","12951.843","50.593"
"msquic","64","4096","21279.780","83.124"
"tcp","256","256","663035.952","161.874"
"managed","256","256","181528.696","44.319"
"msquic","256","256","55679.376","13.594"
"tcp","256","1024","477721.696","466.525"
"managed","256","1024","45389.697","44.326"
"msquic","256","1024","50165.664","48.990"
"tcp","256","4096","240160.115","938.125"
"managed","256","4096","11940.035","46.641"
"msquic","256","4096","20214.003","78.961"
