"Impl","Connections","MessageSize","Drop","Average RPS","Throughput (MiB/s)"
"tcp","1","256","0.004","70587.535","17.233"
"tcp","1","1024","0.004","17761.469","17.345"
"tcp","1","4096","0.004","4929.403","19.255"
"managed","1","256","0.004","9568.599","2.336"
"managed","1","1024","0.004","2287.622","2.234"
"managed","1","4096","0.004","745.026","2.910"
"msquic","1","256","0.004","1913.467","0.467"
"msquic","1","1024","0.004","527.792","0.515"
"msquic","1","4096","0.004","138.634","0.542"
"tcp","1","256","0.1","3199.347","0.781"
"tcp","1","1024","0.1","1032.017","1.008"
"tcp","1","4096","0.1","282.455","1.103"
"managed","1","256","0.1","6725.441","1.642"
"managed","1","1024","0.1","2058.356","2.010"
"managed","1","4096","0.1","459.744","1.796"
"msquic","1","256","0.1","1858.067","0.454"
"msquic","1","1024","0.1","497.078","0.485"
"msquic","1","4096","0.1","277.274","1.083"
