"Impl","Connections","MessageSize","Streams","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"managed","1","256","1","8996.656","2.196","0.110","0.106","0.133","0.151"
"msquic","1","256","1","8634.616","2.108","0.104","0.102","0.128","0.160"
"managed","1","4096","1","5474.598","21.385","0.181","0.172","0.224","0.273"
"msquic","1","4096","1","5924.338","23.142","0.154","0.151","0.175","0.221"
"managed","1","256","32","122138.110","29.819","0.262","0.244","0.349","0.476"
"msquic","1","256","32","91073.118","22.235","0.313","0.300","0.391","0.511"
"managed","1","4096","32","9718.141","37.961","3.292","3.155","4.921","6.069"
"msquic","1","4096","32","22223.853","86.812","1.302","1.305","1.528","1.665"
"managed","4","256","1","32567.576","7.951","0.121","0.115","0.140","0.162"
"msquic","4","256","1","25758.315","6.289","0.136","0.131","0.170","0.210"
"managed","4","4096","1","15090.933","58.949","0.263","0.255","0.308","0.424"
"msquic","4","4096","1","15963.279","62.357","0.225","0.216","0.282","0.333"
"managed","4","256","32","235153.423","57.411","0.548","0.403","1.694","2.320"
"msquic","4","256","32","146347.608","35.729","0.743","0.426","0.990","12.602"
"managed","4","4096","32","25954.128","101.383","4.936","4.642","8.303","10.555"
"msquic","4","4096","32","33721.965","131.726","3.732","3.643","4.335","6.219"
"managed","16","256","1","79303.998","19.361","0.200","0.190","0.250","0.407"
"msquic","16","256","1","56633.357","13.827","0.248","0.205","0.412","0.682"
"managed","16","4096","1","8619.969","33.672","1.855","1.793","2.444","2.911"
"msquic","16","4096","1","31327.813","122.374","0.456","0.370","0.760","1.407"
"managed","16","256","32","89224.752","21.783","5.763","5.281","11.126","17.507"
"msquic","16","256","32","79821.657","19.488","4.962","1.391","16.894","31.014"
"managed","16","4096","32","20675.894","80.765","24.799","20.568","57.533","97.111"
"msquic","16","4096","32","44790.087","174.961","11.321","6.756","17.136","91.546"
"managed","64","256","1","74495.014","18.187","0.860","0.822","1.017","1.922"
"msquic","64","256","1","50799.711","12.402","0.952","0.609","1.834","12.501"
"managed","64","4096","1","9707.200","37.919","6.561","2.392","24.116","96.340"
"msquic","64","4096","1","36647.460","143.154","1.570","0.971","2.845","15.353"
"managed","64","256","32","86788.515","21.189","23.731","20.004","55.934","98.238"
"msquic","64","256","32","125822.227","30.718","11.501","7.506","35.459","54.301"
"managed","64","4096","32","16806.305","65.650","113.832","38.773","458.632","1074.285"
"msquic","64","4096","32","50587.566","197.608","39.500","23.691","56.114","351.637"
"managed","256","256","1","66184.464","16.158","3.878","3.159","5.773","9.381"
"msquic","256","256","1","55747.340","13.610","3.411","1.956","14.526","26.009"
"managed","256","4096","1","9623.689","37.593","26.501","6.287","120.472","347.361"
"msquic","256","4096","1","34996.260","136.704","6.629","3.547","18.638","74.282"
"managed","256","256","32","91027.886","22.224","90.340","66.709","250.473","417.880"
"msquic","256","256","32","142361.276","34.756","40.699","35.550","103.934","136.799"
"managed","256","4096","32","12505.040","48.848","588.608","217.324","2073.952","5306.359"
"msquic","256","4096","32","56949.681","222.460","122.389","87.243","327.171","764.522"
