"Impl","Connections","MessageSize","Streams","Average RPS","Throughput (MiB/s)"
"managed","1","256","1","224103.170","54.713"
"msquic","1","256","1","59093.523","14.427"
"managed","1","4096","1","13685.339","53.458"
"msquic","1","4096","1","21660.061","84.610"
"managed","1","256","32","217060.436","52.993"
"msquic","1","256","32","147451.324","35.999"
"managed","1","4096","32","13327.085","52.059"
"msquic","1","4096","32","30931.872","120.828"
"managed","4","256","1","422738.936","103.208"
"msquic","4","256","1","116125.142","28.351"
"managed","4","4096","1","24730.862","96.605"
"msquic","4","4096","1","49069.071","191.676"
"managed","4","256","32","386340.007","94.321"
"msquic","4","256","32","308138.445","75.229"
"managed","4","4096","32","25537.738","99.757"
"msquic","4","4096","32","49969.918","195.195"
"managed","16","256","1","331048.268","80.822"
"msquic","16","256","1","117908.233","28.786"
"managed","16","4096","1","21103.209","82.434"
"msquic","16","4096","1","51555.912","201.390"
"managed","16","256","32","312603.624","76.319"
"msquic","16","256","32","191975.367","46.869"
"managed","16","4096","32","20317.603","79.366"
"msquic","16","4096","32","62018.709","242.261"
"managed","64","256","1","290130.009","70.833"
"msquic","64","256","1","115550.832","28.211"
"managed","64","4096","1","17854.636","69.745"
"msquic","64","4096","1","53767.613","210.030"
"managed","64","256","32","240460.982","58.706"
"msquic","64","256","32","201680.019","49.238"
"managed","64","4096","32","16732.040","65.360"
"msquic","64","4096","32","62317.832","243.429"
"managed","256","256","1","250996.905","61.279"
"msquic","256","256","1","117662.095","28.726"
"managed","256","4096","1","15644.818","61.113"
"msquic","256","4096","1","50555.899","197.484"
"managed","256","256","32","177759.486","43.398"
"msquic","256","256","32","184024.280","44.928"
"managed","256","4096","32","13098.874","51.167"
"msquic","256","4096","32","58002.168","226.571"
