"Impl","Connections","MessageSize","Average RPS","Throughput (MiB/s)","Latency-avg (ms)","Latency-p50 (ms)","Latency-p95 (ms)","Latency-p99 (ms)"
"tcp","1","256","19557.911","4.775","0.028","0.025","0.056","0.072"
"managed","1","256","8821.255","2.154","0.112","0.107","0.139","0.165"
"msquic","1","256","8748.127","2.136","0.102","0.100","0.128","0.162"
"tcp","1","4096","13367.982","52.219","0.040","0.036","0.070","0.085"
"managed","1","4096","5139.288","20.075","0.193","0.178","0.250","0.294"
"msquic","1","4096","6054.813","23.652","0.149","0.151","0.177","0.218"
"tcp","8","256","88716.952","21.659","0.074","0.074","0.102","0.120"
"managed","8","256","61931.113","15.120","0.127","0.120","0.152","0.241"
"msquic","8","256","46004.823","11.232","0.153","0.141","0.230","0.305"
"tcp","8","4096","60048.401","234.564","0.112","0.112","0.154","0.180"
"managed","8","4096","19512.396","76.220","0.305","0.290","0.397","0.564"
"msquic","8","4096","24032.468","93.877","0.301","0.275","0.426","0.548"
"tcp","32","256","132425.337","32.330","0.230","0.227","0.311","0.356"
"managed","32","256","79701.461","19.458","0.401","0.384","0.484","1.069"
"msquic","32","256","56952.465","13.904","0.458","0.302","0.733","3.854"
"tcp","32","4096","72375.174","282.716","0.423","0.420","0.555","0.616"
"managed","32","4096","9951.962","38.875","3.215","1.758","3.386","64.435"
"msquic","32","4096","34173.740","133.491","0.848","0.566","1.305","5.524"
"tcp","128","256","158456.064","38.686","0.812","0.799","1.079","1.305"
"managed","128","256","69167.557","16.887","1.855","1.765","3.119","3.756"
"msquic","128","256","51257.822","12.514","1.788","1.111","7.797","16.188"
"tcp","128","4096","69714.877","272.324","1.821","1.818","2.428","2.612"
"managed","128","4096","9361.415","36.568","13.643","4.417","69.852","189.885"
"msquic","128","4096","35239.169","137.653","3.179","1.818","10.212","26.065"
"tcp","512","256","122252.506","29.847","4.253","4.264","4.649","5.222"
"managed","512","256","58787.564","14.352","8.749","3.284","46.628","141.473"
"msquic","512","256","59992.397","14.647","6.185","4.094","21.313","36.296"
"tcp","512","4096","61126.754","238.776","8.382","8.374","8.985","9.316"
"managed","512","4096","10603.254","41.419","47.964","9.337","216.806","601.008"
"msquic","512","4096","34676.407","135.455","13.067","7.257","40.871","130.664"
