"Impl","Connections","MessageSize","Average RPS","Throughput (MiB/s)"
"tcp","1","256","48128.114","11.750"
"managed","1","256","269150.805","65.711"
"msquic","1","256","55337.752","13.510"
"tcp","1","4096","20901.910","81.648"
"managed","1","4096","14990.521","58.557"
"msquic","1","4096","20895.908","81.625"
"tcp","8","256","376330.729","91.878"
"managed","8","256","384328.184","93.830"
"msquic","8","256","128290.522","31.321"
"tcp","8","4096","64709.081","252.770"
"managed","8","4096","26042.354","101.728"
"msquic","8","4096","51001.435","199.224"
"tcp","32","256","411349.498","100.427"
"managed","32","256","306621.738","74.859"
"msquic","32","256","115787.748","28.268"
"tcp","32","4096","79950.272","312.306"
"managed","32","4096","18677.153","72.958"
"msquic","32","4096","53551.388","209.185"
"tcp","128","256","422590.713","103.172"
"managed","128","256","296202.116","72.315"
"msquic","128","256","117416.836","28.666"
"tcp","128","4096","79360.358","310.001"
"managed","128","4096","16316.348","63.736"
"msquic","128","4096","51028.237","199.329"
"tcp","512","256","430205.833","105.031"
"managed","512","256","264874.364","64.667"
"msquic","512","256","112532.263","27.474"
"tcp","512","4096","78269.024","305.738"
"managed","512","4096","16118.105","62.961"
"msquic","512","4096","44989.939","175.742"
